MONTH,BOROUGH,COMMUNITY DISTRICT,LOCATION TYPE,ORGANIC TONS,BOROUGH_ID
2026 / 03,Queens,1,Residential,195.7,4
2027 / 03,Queens,1,School,120,4
2028 / 03,Queens,,Residential,184.7,4
2029 / 03,Queens,,School,210.7,4
2030 / 03,Queens,3,Residential,157.7,4
2031 / 03,Queens,4,Residential,136.2,4
2032 / 03,Queens,5,Residential,220.2,4
2033 / 03,Queens,5,School,135.5,4
2034 / 03,Queens,6,Residential,162.4,4
2035 / 03,Queens,7,Residential,192.8,4
2036 / 03,Queens,7,School,110.5,4
2037 / 03,Queens,8,Residential,164.2,4
2038 / 03,Queens,9,Residential,162.3,4
2039 / 03,Queens,9,School,139.7,4
2040 / 03,Queens,10,Residential,144.5,4
2041 / 03,Queens,10,School,94.7,4
2042 / 03,Queens,1,Residential,195.7,4
2043 / 03,Queens,1,School,120,4
2044 / 03,Queens,,Residential,184.7,4
2045 / 03,Queens,,School,210.7,4
2046 / 03,Queens,3,Residential,157.7,4
2047 / 03,Queens,4,Residential,136.2,4
2048 / 03,Queens,5,Residential,220.2,4
2049 / 03,Queens,5,School,135.5,4
2050 / 03,Queens,6,Residential,162.4,4
2051 / 03,Queens,7,Residential,192.8,4
2052 / 03,Queens,7,School,110.5,4
2053 / 03,Queens,8,Residential,164.2,4
2054 / 03,Queens,9,Residential,162.3,4
2055 / 03,Queens,9,School,139.7,4
2026 / 03,Queens,10,Residential,144.5,4
2027 / 03,Queens,10,School,94.7,4
2026 / 03,Queens,11,Residential,280.2,4
2027 / 03,Queens,11,School,102.7,
2028 / 03,Queens,12,Residential,319.6,4
2029 / 03,Queens,12,School,89.2,
2030 / 03,Queens,13,Residential,174.4,4
2031 / 03,Queens,13,School,73,
2032 / 03,Queens,14,Residential,85,4
2026 / 02,Queens,1,Residential,138.6,4
2026 / 02,Queens,1,School,84.2,
2026 / 02,Queens,,School,138.2,4
2026 / 02,Queens,3,Residential,109.9,4
2026 / 02,Queens,4,Residential,100.6,4
2026 / 02,Queens,5,Residential,172.6,4
2026 / 02,Queens,6,Residential,100.4,4
2026 / 02,Queens,7,Residential,157.6,4
2026 / 02,,7,School,66.5,
2026 / 02,Queens,8,Residential,109.2,4
2026 / 02,Queens,9,Residential,159.3,4
2026 / 02,Queens,10,Residential,85.6,4
2026 / 02,,10,School,62.4,
2026 / 02,Queens,11,Residential,160.4,4
2026 / 02,,11,School,54.8,
2026 / 02,Queens,12,Residential,188.1,4
2026 / 02,,12,School,58.3,
2026 / 02,Queens,13,Residential,143.2,4
2026 / 02,,13,School,46.1,
2026 / 02,Queens,14,Residential,57,4
2026 / 01,Queens,1,Residential,201.4,4
2026 / 01,,1,School,115.5,
2026 / 01,Queens,,Residential,190.2,4
2026 / 01,,,School,170.8,
2026 / 01,Queens,3,Residential,170.7,4
2026 / 01,Queens,4,Residential,138.3,4
2026 / 01,Queens,5,Residential,242.5,4
2026 / 01,,5,School,112.3,
2026 / 01,Queens,6,Residential,148.9,4
2026 / 01,Queens,7,Residential,176,4
2026 / 01,,7,School,89.8,
2026 / 01,Queens,8,Residential,155.1,4
2026 / 01,Queens,9,Residential,200.4,4
2026 / 01,,9,School,110.6,
2026 / 01,Queens,10,Residential,119.2,4
2026 / 01,,10,School,86.4,
2026 / 01,Queens,11,Residential,222.7,4
2026 / 01,,11,School,81.7,
2026 / 01,Queens,12,Residential,256.9,4
2026 / 01,,12,School,74.7,
2026 / 01,Queens,13,Residential,168.9,4
2026 / 01,,13,School,55.2,
2026 / 01,Queens,14,Residential,90.7,4
2025 / 12,Queens,1,Residential,266.8,4
2025 / 12,,1,School,120.5,
2025 / 12,Queens,,Residential,212.5,4
2025 / 12,,,School,172.9,
2025 / 12,Queens,3,Residential,195.9,4
