MONTH,BOROUGH,COMMUNITY DISTRICT,RES ORGANICS TONS,SCHOOL ORGANIC TONS,BOROUGH_ID
2026 / 04,Bronx,1,18.7,66,2
2026 / 04,Bronx,2,16.4,69.9,2
2026 / 04,Bronx,3,19.2,0,2
2026 / 04,Bronx,4,16.2,49.5,2
2026 / 04,Bronx,5,14.2,53.2,2
2026 / 04,Bronx,6,16.2,45.9,2
2026 / 04,Bronx,7,45.1,0,2
2026 / 04,Bronx,8,136.5,39.1,2
2026 / 04,Bronx,9,102.9,51.6,2
2026 / 04,Bronx,10,157,0,2
2026 / 04,Bronx,1,18.7,66,2
2026 / 04,Bronx,2,16.4,69.9,2
2026 / 04,Bronx,3,19.2,0,2
2026 / 04,Bronx,4,16.2,49.5,2
2026 / 04,Bronx,5,14.2,53.2,2
2026 / 04,Bronx,6,16.2,45.9,2
2026 / 04,Bronx,7,45.1,0,2
2026 / 04,Bronx,8,136.5,39.1,2
2026 / 04,Bronx,9,102.9,51.6,2
2026 / 04,Bronx,10,157,0,2
2026 / 04,Bronx,11,133.9,74.6,2
2026 / 04,Bronx,12,264.6,0,2
2026 / 04,Brooklyn,1,99.9,30.7,
2026 / 04,Brooklyn,2,162.5,51.5,
2026 / 04,Brooklyn,3,146.1,44,
2026 / 04,Brooklyn,4,83.7,60.9,
2026 / 04,Brooklyn,5,143.3,0,
2026 / 04,Brooklyn,6,132.9,65.6,
2026 / 04,Brooklyn,7,106.4,0,
2026 / 04,Brooklyn,8,,44.5,
2026 / 04,Brooklyn,9,66.8,36.7,
2026 / 04,Brooklyn,10,,0,
2026 / 04,Brooklyn,11,329.5,87.4,3
2026 / 04,Brooklyn,12,76.7,74.2,3
2026 / 04,Brooklyn,13,73.2,1.3,3
2026 / 04,Brooklyn,14,132.1,176,3
2026 / 04,Brooklyn,15,178,0,3
2026 / 04,Brooklyn,16,43.2,0,3
2026 / 04,Brooklyn,17,148.6,0,3
2026 / 04,Brooklyn,18,125.5,66,3
2026 / 04,Manhattan,1,21.7,0,1
2026 / 04,Manhattan,2,58.2,23.4,1
2026 / 04,Manhattan,3,53,26.6,1
2026 / 04,Manhattan,4,62.1,0,1
2026 / 04,Manhattan,5,23.2,0,1
2026 / 04,Manhattan,6,70,0,1
2026 / 04,Manhattan,7,253.1,37.1,1
2026 / 04,Manhattan,8,154.3,0,1
2026 / 04,Manhattan,9,54.9,66.6,1
2026 / 04,Manhattan,10,48.3,,1
2026 / 04,Manhattan,11,33,0,1
2026 / 04,Manhattan,12,84.7,43,1
2026 / 04,Queens,1,214.3,93.4,4
2026 / 04,Queens,2,194.7,157.6,4
2026 / 04,Queens,3,183.4,0,4
2026 / 04,Queens,4,150.8,0,4
2026 / 04,Queens,5,265.5,102.2,4
2026 / 04,Queens,6,189.8,0,4
2026 / 04,Queens,7,207.8,81,4
2026 / 04,Queens,8,167.1,0,4
2026 / 04,Queens,9,186.4,102.6,4
2026 / 04,Queens,10,139.5,73.9,4
2026 / 04,Queens,11,327,84.4,4
2026 / 04,Queens,12,429.8,63,4
2026 / 04,Queens,13,196.9,54.9,4
2026 / 04,Queens,14,105.5,0,4
2026 / 04,Staten Island,1,187.6,0,5
2026 / 04,Staten Island,2,374.6,25.6,5
2026 / 04,Staten Island,3,422.5,31.6,5
2026 / 03,Bronx,1,22.1,86,2
2026 / 03,Bronx,2,11,100.1,2
2026 / 03,Bronx,3,16.9,0,2
2026 / 03,Bronx,4,15,70.4,2
2026 / 03,Bronx,5,13.5,74.9,2
2026 / 03,Bronx,6,14.1,61.2,2
2026 / 03,Bronx,7,39.6,,2
2026 / 03,Bronx,8,121.9,5,2
2026 / 03,Bronx,9,81.8,64.9,2
2026 / 03,Bronx,10,130.6,0,2
2026 / 03,Bronx,11,113.6,101.6,2
2026 / 03,Bronx,12,225.2,0,2
2026 / 03,Brooklyn,1,106.1,,3
2026 / 03,Brooklyn,2,154.6,70.1,3
2026 / 03,Brooklyn,3,150.4,63.5,3
2026 / 03,Brooklyn,4,81.6,81.2,3
2026 / 03,Brooklyn,5,113.9,0,3
2026 / 03,Brooklyn,6,145.3,84.1,3
2026 / 03,Brooklyn,7,127.1,0,3
2026 / 03,Brooklyn,8,105.8,57.9,3
2026 / 03,Brooklyn,9,61.7,44.9,3
2026 / 03,Brooklyn,10,105.2,0,3
2026 / 03,Brooklyn,11,320.6,127.1,3
2026 / 03,Brooklyn,12,71.9,95.9,3
2026 / 03,Brooklyn,13,73.3,0,3
2026 / 03,Brooklyn,14,117.3,245.6,3
2026 / 03,Brooklyn,15,159.8,0,3
2026 / 03,Brooklyn,16,35.6,0,3
2026 / 03,Brooklyn,17,132,0,3
2026 / 03,Brooklyn,18,134.9,95.6,3
2026 / 03,Manhattan,1,21.4,0,1
2026 / 03,Manhattan,2,55.9,31.3,1
2026 / 03,Manhattan,3,43.3,34.1,1
2026 / 03,Manhattan,4,56.5,0,1
2026 / 03,Manhattan,5,24.3,0,1
2026 / 03,Manhattan,6,59.9,0,1
2026 / 03,Manhattan,7,236.8,44.8,1
2026 / 03,Manhattan,8,151.2,0,1
2026 / 03,Manhattan,9,47.7,83.5,1
2026 / 03,Manhattan,10,49.5,61.5,1
2026 / 03,Manhattan,11,22.4,0,1
2026 / 03,Manhattan,12,69.2,57.1,1
2026 / 03,Queens,1,195.7,120,4
2026 / 03,Queens,2,184.7,210.7,4
2026 / 03,Queens,3,157.7,0,4
2026 / 03,Queens,4,136.2,0,4
2026 / 03,Queens,5,220.2,135.5,4
2026 / 03,Queens,6,162.4,0,4
2026 / 03,Queens,7,192.8,110.5,4
2026 / 03,Queens,8,164.2,0,4
2026 / 03,Queens,9,162.3,139.7,4
2026 / 03,Queens,10,144.5,94.7,4
2026 / 03,Queens,11,280.2,102.7,4
2026 / 03,Queens,12,319.6,89.2,4
2026 / 03,Queens,13,174.4,73,4
2026 / 03,Queens,14,85,0,4
2026 / 03,Staten Island,1,210.9,0,5
2026 / 03,Staten Island,2,326.1,35.1,5
2026 / 03,Staten Island,3,354.3,43.5,5
2026 / 02,Bronx,1,16.2,55.7,2
2026 / 02,Bronx,2,13.4,55.7,2
2026 / 02,Bronx,3,12.8,0,2
2026 / 02,Bronx,4,10.9,42.7,2
2026 / 02,Bronx,5,12.1,,2
2026 / 02,Bronx,6,9.5,38.8,2
