MONTH,BOROUGH,COMMUNITYDISTRICT,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,BOROUGH_ID
2026 / 04,Bronx,1,209.6,125,18.7,2
2026 / 04,Bronx,2,242.8,224.6,16.4,2
2026 / 04,Bronx,3,147,154.5,19.2,2
2026 / 04,Bronx,4,225.9,272.8,16.2,2
2026 / 04,Bronx,5,217.9,288.1,14.2,2
2026 / 04,Bronx,6,190.8,192.9,16.2,2
2026 / 04,Bronx,7,283.4,410.7,45.1,2
2026 / 04,Bronx,8,289.9,334.6,136.5,2
2026 / 04,Bronx,9,229.4,387.6,102.9,2
2026 / 04,Bronx,10,262.7,335,157,2
2026 / 04,Bronx,11,277.1,311.5,133.9,2
2026 / 04,Bronx,12,306.6,568.2,264.6,2
2026 / 04,Brooklyn,1,762.8,459.9,99.9,3
2026 / 04,Brooklyn,2,572.2,395.4,162.5,3
2026 / 04,Brooklyn,3,452.7,330.2,146.1,3
2026 / 04,Brooklyn,4,331.2,344.2,83.7,3
2026 / 04,Brooklyn,5,243.7,494.7,143.3,3
2026 / 04,Brooklyn,6,508.8,356.7,132.9,3
2026 / 04,Brooklyn,7,369,346.4,106.4,3
2026 / 04,Brooklyn,8,304.7,281.3,96.9,3
2026 / 04,Brooklyn,9,279,252.3,66.8,3
2026 / 04,Brooklyn,10,403.7,422.7,92.5,3
2026 / 04,Brooklyn,11,519.6,524.7,329.5,3
2026 / 04,Brooklyn,12,778.3,396.2,76.7,3
2026 / 04,Brooklyn,13,252.8,218.1,73.2,3
2026 / 04,Brooklyn,14,465.6,415.9,132.1,3
2026 / 04,Brooklyn,15,488.6,520.7,178,3
2026 / 04,Brooklyn,16,112.6,174.2,43.2,3
2026 / 04,Brooklyn,17,296.1,430.2,148.6,3
2026 / 04,Brooklyn,18,514.1,626.6,125.5,3
2026 / 04,Manhattan,1,326.3,227,21.7,1
2026 / 04,Manhattan,2,397.7,280.3,58.2,1
2026 / 04,Manhattan,3,425.9,326.6,53,1
2026 / 04,Manhattan,4,621.7,342.2,62.1,1
2026 / 04,Manhattan,5,251.4,154.3,23.2,1
2026 / 04,Manhattan,6,670.3,372.8,70,1
2026 / 04,Manhattan,7,882.5,656.4,253.1,1
2026 / 04,Manhattan,8,955.2,693.7,154.3,1
2026 / 04,Manhattan,9,236,213.9,54.9,1
2026 / 04,Manhattan,10,271.7,272.4,48.3,1
2026 / 04,Manhattan,11,225.5,173.5,33,1
2026 / 04,Manhattan,12,427.6,462.3,84.7,1
2026 / 04,Queens,1,599.7,608.9,214.3,4
2026 / 04,Queens,2,563.7,432.2,194.7,4
2026 / 04,Queens,3,334.7,544.4,183.4,4
2026 / 04,Queens,4,350.5,535.5,150.8,4
2026 / 04,Queens,5,588.5,675.4,265.5,4
2026 / 04,Queens,6,364.6,372.1,189.8,4
2026 / 04,Queens,7,893.6,772.3,207.8,4
2026 / 04,Queens,8,406.2,407.2,167.1,4
2026 / 04,Queens,9,427.3,536.4,186.4,4
2026 / 04,Queens,10,341.5,537.7,139.5,4
2026 / 04,Queens,11,394.9,443,327,4
2026 / 04,Queens,12,484.9,968.2,429.8,4
2026 / 04,Queens,13,442.9,846.7,196.9,4
2026 / 04,Queens,14,282.5,256.1,105.5,4
2026 / 04,Staten Island,1,607.9,702.4,187.6,5
2026 / 04,Staten Island,2,494.8,544.7,374.6,5
2026 / 04,Staten Island,3,677.3,712.9,422.5,5
2026 / 03,Bronx,1,295.6,173.3,22.1,2
2026 / 03,Bronx,2,229.1,253.3,11,2
2026 / 03,Bronx,3,177.3,170.8,16.9,2
2026 / 03,Bronx,4,310.2,347.7,15,2
2026 / 03,Bronx,5,289.7,359.6,13.5,2
2026 / 03,Bronx,6,249.4,218.1,14.1,2
2026 / 03,Bronx,7,355.4,484.9,39.6,2
2026 / 03,Bronx,8,365.9,404.5,121.9,2
2026 / 03,Bronx,9,288.2,440.1,81.8,2
2026 / 03,Bronx,10,329.3,399.7,130.6,2
2026 / 03,Bronx,11,339.9,366.7,113.6,2
2026 / 03,Bronx,12,421,637.4,225.2,2
2026 / 03,Brooklyn,1,897.7,508,106.1,3
2026 / 03,Brooklyn,2,669,448.5,154.6,3
2026 / 03,Brooklyn,3,561.8,414,150.4,3
2026 / 03,Brooklyn,4,403.1,407.5,81.6,3
2026 / 03,Brooklyn,5,319,550.2,113.9,3
2026 / 03,Brooklyn,6,611.2,439.2,145.3,3
2026 / 03,Brooklyn,7,459.8,416.7,127.1,3
2026 / 03,Brooklyn,8,405.8,338.6,105.8,3
2026 / 03,Brooklyn,9,348.4,292.3,61.7,3
2026 / 03,Brooklyn,10,499.8,514.7,105.2,3
2026 / 03,Brooklyn,11,646.3,636.8,320.6,3
2026 / 03,Brooklyn,12,1051.7,459.1,71.9,3
2026 / 03,Brooklyn,13,310.6,272.8,73.3,3
2026 / 03,Brooklyn,14,638.5,516.2,117.3,3
2026 / 03,Brooklyn,15,650.1,634.2,159.8,3
2026 / 03,Brooklyn,16,135.9,180.4,35.6,3
2026 / 03,Brooklyn,17,365.4,520.2,132,3
2026 / 03,Brooklyn,18,667.9,708.4,134.9,3
2026 / 03,Manhattan,1,372.5,261,21.4,1
2026 / 03,Manhattan,2,463.4,325.4,55.9,1
2026 / 03,Manhattan,3,434.8,339.1,43.3,1
2026 / 03,Manhattan,4,651.3,363.6,56.5,1
2026 / 03,Manhattan,5,279.2,180.5,24.3,1
2026 / 03,Manhattan,6,716.7,405.6,59.9,1
2026 / 03,Manhattan,7,1023.1,781.8,236.8,1
2026 / 03,Manhattan,8,1090.6,818.7,151.2,1
2026 / 03,Manhattan,9,253.5,239,47.7,1
2026 / 03,Manhattan,10,313.2,282.6,49.5,1
2026 / 03,Manhattan,11,230,199.5,22.4,1
2026 / 03,Manhattan,12,459.7,511.6,69.2,1
2026 / 03,Queens,1,760.5,746.7,195.7,4
2026 / 03,Queens,2,677.4,537.2,184.7,4
2026 / 03,Queens,3,387.5,626.1,157.7,4
2026 / 03,Queens,4,414.2,594.9,136.2,4
2026 / 03,Queens,5,687.3,798.2,220.2,4
2026 / 03,Queens,6,435.7,438.1,162.4,4
2026 / 03,Queens,7,1074.4,910.4,192.8,4
2026 / 03,Queens,8,513.8,475.7,164.2,4
2026 / 03,Queens,9,530.9,630.6,162.3,4
2026 / 03,Queens,10,394.1,640.6,144.5,4
2026 / 03,Queens,11,503.1,508.2,280.2,4
2026 / 03,Queens,12,591,1084.7,319.6,4
2026 / 03,Queens,13,526.3,972.1,174.4,4
2026 / 03,Queens,14,335.2,279.4,85,4
2026 / 03,Staten Island,1,776.2,818.8,210.9,5
2026 / 03,Staten Island,2,613.1,605.7,326.1,5
2026 / 03,Staten Island,3,773.1,780,354.3,5
2026 / 02,Bronx,1,200.3,109.8,16.2,2
2026 / 02,Bronx,2,224.2,154.8,13.4,2
2026 / 02,Bronx,3,107.5,116.1,12.8,2
2026 / 02,Bronx,4,199.9,226.5,10.9,2
2026 / 02,Bronx,5,184.3,246.1,12.1,2
2026 / 02,Bronx,6,147.4,137.5,9.5,2
2026 / 02,Bronx,7,238.8,328,25.2,2
2026 / 02,Bronx,8,241.6,296.2,81.4,2
2026 / 02,Bronx,9,171.9,285.7,61,2
2026 / 02,Bronx,10,221.2,257.3,77.1,2
2026 / 02,Bronx,11,228.1,252.1,70.2,2
2026 / 02,Bronx,12,264.2,410,131.3,2
2026 / 02,Brooklyn,1,636.8,374.6,70.2,3
2026 / 02,Brooklyn,2,493.7,370,103.5,3
2026 / 02,Brooklyn,3,358.4,262.8,78.3,3
2026 / 02,Brooklyn,4,276.8,281.7,58.9,3
2026 / 02,Brooklyn,5,189.6,345,64.8,3
2026 / 02,Brooklyn,6,423.8,315.9,119.5,3
