MONTH,BOROUGH,COMMUNITYDISTRICT,RESORGANICSTONS,SCHOOLORGANICTONS,BOROUGH_ID
2026 / 03,Queens,1,195.7,120,4
2026 / 03,Queens,,184.7,210.7,4
2026 / 03,Queens,3,157.7,,4
2026 / 03,Queens,4,136.2,,4
2026 / 03,Queens,5,220.2,135.5,4
2026 / 03,Queens,6,162.4,,4
2026 / 03,Queens,7,192.8,110.5,4
2026 / 03,Queens,8,164.2,,4
2026 / 03,Queens,9,162.3,139.7,4
2026 / 03,Queens,10,144.5,94.7,4
2026 / 03,Queens,1,195.7,120,4
2026 / 03,Queens,,184.7,210.7,4
2026 / 03,Queens,3,157.7,,4
2026 / 03,Queens,4,136.2,,4
2026 / 03,Queens,5,220.2,135.5,4
2026 / 03,Queens,6,162.4,,4
2026 / 03,Queens,7,192.8,110.5,4
2026 / 03,Queens,8,164.2,,4
2026 / 03,Queens,9,162.3,139.7,4
2026 / 03,Queens,10,144.5,94.7,4
2026 / 03,Queens,11,280.2,102.7,4
2026 / 03,Queens,12,319.6,89.2,4
2026 / 03,Queens,13,174.4,73,4
2026 / 03,Queens,14,85,,4
2026 / 02,Queens,1,138.6,84.2,4
2026 / 02,Queens,,,138.2,4
2026 / 02,Queens,3,109.9,,4
2026 / 02,Queens,4,100.6,,4
2026 / 02,Queens,5,172.6,,4
2026 / 02,Queens,6,100.4,,4
2026 / 02,Queens,7,157.6,66.5,4
2026 / 02,Queens,8,109.2,,4
2026 / 02,Queens,9,159.3,,4
2026 / 02,Queens,10,85.6,62.4,4
2026 / 02,Queens,11,160.4,54.8,4
2026 / 02,Queens,12,188.1,58.3,4
2026 / 02,Queens,13,143.2,46.1,4
2026 / 02,Queens,14,57,,4
2026 / 01,Queens,1,201.4,115.5,4
2026 / 01,Queens,,190.2,170.8,4
2026 / 01,Queens,3,170.7,,4
2026 / 01,Queens,4,138.3,,4
2026 / 01,Queens,5,242.5,112.3,4
2026 / 01,Queens,6,148.9,,4
2026 / 01,Queens,7,176,89.8,4
2026 / 01,Queens,8,155.1,,4
2026 / 01,Queens,9,200.4,110.6,4
2026 / 01,Queens,10,119.2,86.4,4
2026 / 01,Queens,11,222.7,81.7,4
2026 / 01,Queens,12,256.9,74.7,4
