Alert ID,Event ID,Update Number,Date,Agency,Status Label,Affected,Header,Description
490021,239866,2,2/27/26,,express-to-local | delays,E | F | M | R,Downtown E/F trains are delayed while we remove a train with a mechanical problem from service at Forest Hills-71 Av.,"Downtown E/F trains will arrive on the local track at Forest Hills-71 Av.

Expect delays in M/R service while they share the tracks with rerouted trains."
490031,239866,3,2/27/26,NYCT Subway,delays,E | F | M | R,Downtown E/F/M/R trains are running with delays after we removed a train with a mechanical problem from service at Forest Hills-71 Av.,Downtown E/F trains have resumed making scheduled stops on the express track at Forest Hills-71 Av.
490035,239866,4,2/27/26,NYCT Subway,delays,E | M | R,"Uptown E/M trains are running with delays.
Downtown R trains are running with delays.","What Happened?
We removed a train with a mechanical problem from service at Forest Hills-71 Av."
489917,239798,1,2/27/26,,delays,R,Uptown N/R/Q trains are running with delays after we addressed a signal problem near Canal St.,Uptown R trains have resumed making scheduled stops from Brooklyn to Manhattan.
489918,239798,2,2/27/26,,delays,N | Q | R,Uptown N/R/Q trains are running with delays after we addressed a signal problem near Canal St.,Uptown R trains have resumed making scheduled stops from Brooklyn to Manhattan.
489397,239547,0,2/26/26,,reroute | delays,Q | R,Downtown R trains are rerouted via the Q line from Canal St to DeKalb Av.,"What's Happening?

We are addressing a train with a mechanical problem at Jay St-MetroTech.

For service to/from bypassed stations, take an uptown R train. 

Expect delays in Q service while they share the tracks with rerouted trains."
489402,239547,1,2/26/26,NYCT Subway,reroute | delays,Q | R,Downtown R trains are rerouted via the Q line from Canal St to DeKalb Av.,"What's Happening?

We are addressing a train with a mechanical problem at Jay St-MetroTech.

For service to/from bypassed stations, take an uptown R train.

Expect delays in Q service while they share the tracks with rerouted trains.

Travel alternatives:

For service between Canal St and Whitehall St-South Ferry, consider taking the W train."
489419,239547,2,2/26/26,NYCT Subway,delays,R,Downtown R trains are running with delays after we moved a train with a mechanical problem at Jay St-MetroTech.,Downtown R trains have resumed making scheduled stops from Canal St to DeKalb Av.
489399,239546,1,2/26/26,,delays,N | R | W,Downtown N/R/W trains are delayed while we address a signal problem near Lexington Av/59 St.,"Some downtown R trains are running via Roosevelt Island from 36 St (QNS) to W 4 St-Wash Sq, then via B to DeKalb Av.

Listen for announcements to hear how your train will run."
489400,239546,2,2/26/26,NYCT Subway,delays,N | R | W,Downtown N/R/W trains are delayed while we address a signal problem near Lexington Av/59 St.,"Some downtown R trains are running via Roosevelt Island from 36 St (QNS) to W 4 St-Wash Sq, then via B to DeKalb Av.

Listen for announcements to hear how your train will run.

Travel alternatives:

For service between Canal St and Whitehall St-South Ferry, consider taking the W train."
490021,239866,2,2/27/26,,express-to-local | delays,E | F | M | R,Downtown E/F trains are delayed while we remove a train with a mechanical problem from service at Forest Hills-71 Av.,"Downtown E/F trains will arrive on the local track at Forest Hills-71 Av.

Expect delays in M/R service while they share the tracks with rerouted trains."
490031,239866,3,2/27/26,NYCT Subway,delays,E | F | M | R,Downtown E/F/M/R trains are running with delays after we removed a train with a mechanical problem from service at Forest Hills-71 Av.,Downtown E/F trains have resumed making scheduled stops on the express track at Forest Hills-71 Av.
